Video,Frame_Id,URL,Person Count,Vehicle Count
202001181134,202001181134f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181134f_0.jpg,0,>10
202001181136,202001181136f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181136f_0.jpg,0-2,>10
202001181136,202001181136f_1.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181136f_1.jpg,0-2,>10
202001181137,202001181137f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181137f_0.jpg,0,>10
202001181139,202001181139f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181139f_0.jpg,0,>10
202001181139,202001181139f_1.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181139f_1.jpg,0,>10
202001181139,202001181139f_2.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181139f_2.jpg,0,>10
202001181139,202001181139f_3.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181139f_3.jpg,0,>10
202001181148,202001181148f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181148f_0.jpg,0,>10
202001181621,202001181621f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181621f_0.jpg,0,>10
202001181713,202001181713f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181713f_0.jpg,0-2,>10
202001181716,202001181716f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181716f_0.jpg,0,>10
202001181735,202001181735f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181735f_0.jpg,0-2,>10
202001181735,202001181735f_1.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181735f_1.jpg,0-2,>10
202001181735,202001181735f_2.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181735f_2.jpg,0-2,>10
202001181735,202001181735f_3.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181735f_3.jpg,0-2,>10
202001181735,202001181735f_4.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181735f_4.jpg,0-2,>10
202001181735,202001181735f_5.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181735f_5.jpg,0-2,>10
202001181735,202001181735f_6.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181735f_6.jpg,0-2,>10
202001181735,202001181735f_7.jpg,http://209.208.111.221/ecsensors/img/img_all/202001181735f_7.jpg,0-2,>10
202001182257,202001182257f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001182257f_0.jpg,0-2,5-10
202001182257,202001182257f_1.jpg,http://209.208.111.221/ecsensors/img/img_all/202001182257f_1.jpg,0-2,5-10
202001182257,202001182257f_2.jpg,http://209.208.111.221/ecsensors/img/img_all/202001182257f_2.jpg,0-2,5-10
202001182257,202001182257f_3.jpg,http://209.208.111.221/ecsensors/img/img_all/202001182257f_3.jpg,0-2,5-10
202001182257,202001182257f_4.jpg,http://209.208.111.221/ecsensors/img/img_all/202001182257f_4.jpg,0-2,5-10
202001182326,202001182326f_0.jpg,http://209.208.111.221/ecsensors/img/img_all/202001182326f_0.jpg,0,5-10
